,Course,Course Prefix,Course Suffix,Department,First Begin Time,First Days,First End Time,First Instructor,First Instructor UID,First Room,Link,Max Units,Min Units,Mode,Reg Count,Seats,Second Begin Time,Second Days,Second End Time,Second Instructor,Second Instructor UID,Second Room,Section,Session,Term,Title
0,ACCT-370,ACCT,370,ACCT,10:00:00,F,11:50:00,"Hopkins, Merle, W",3783353564.0,SLH200,,0.0,0.0,L,106,135,,,,,,,14029,1,20153,External Financial Reporting Issues
1,ACCT-370,ACCT,370,ACCT,08:00:00,MW,09:50:00,"Hopkins, Merle, W",3783353564.0,ACC303,A,4.0,4.0,C,24,42,,,,,,,14025,1,20153,External Financial Reporting Issues
2,ACCT-370,ACCT,370,ACCT,10:00:00,MW,11:50:00,"Hopkins, Merle, W",3783353564.0,ACC303,,4.0,4.0,C,40,42,,,,,,,14026,1,20153,External Financial Reporting Issues
3,ACCT-370,ACCT,370,ACCT,12:00:00,MW,13:50:00,"Hopkins, Merle, W",3783353564.0,ACC303,A,4.0,4.0,C,42,42,,,,,,,14027,1,20153,External Financial Reporting Issues
4,ACCT-371,ACCT,371,ACCT,10:00:00,F,11:50:00,,,SLH200,,0.0,0.0,D,110,150,,,,,,,14044,1,20153,Introduction to Accounting Systems
5,ACCT-371,ACCT,371,ACCT,08:00:00,TH,09:50:00,"Porter, Leslie, Robert",2447845087.0,ACC303,,4.0,4.0,C,29,42,,,,,,,14040,1,20153,Introduction to Accounting Systems
6,ACCT-371,ACCT,371,ACCT,12:00:00,TH,13:50:00,"Porter, Leslie, Robert",2447845087.0,ACC303,,4.0,4.0,C,40,42,,,,,,,14042,1,20153,Introduction to Accounting Systems
7,ACCT-371,ACCT,371,ACCT,10:00:00,TH,11:50:00,"Porter, Leslie, Robert",2447845087.0,ACC303,,4.0,4.0,C,41,42,,,,,,,14041,1,20153,Introduction to Accounting Systems
8,ACCT-372,ACCT,372,ACCT,12:00:00,F,13:50:00,,,HOH EDI,,0.0,0.0,L,144,269,,,,,,,14053,442,20153,Internal Reporting Issues
9,ACCT-372,ACCT,372,ACCT,08:00:00,TH,09:50:00,"Karuna, Christo",5761826045.0,ACC310,,2.0,2.0,C,50,53,,,,,,,14050,442,20153,Internal Reporting Issues
10,ACCT-372,ACCT,372,ACCT,12:00:00,TH,13:50:00,"Karuna, Christo",5761826045.0,ACC310,,2.0,2.0,C,54,54,,,,,,,14052,442,20153,Internal Reporting Issues
11,ACCT-372,ACCT,372,ACCT,10:00:00,TH,11:50:00,"Karuna, Christo",5761826045.0,ACC310,,2.0,2.0,C,54,54,,,,,,,14051,442,20153,Internal Reporting Issues
12,ACCT-373,ACCT,373,ACCT,12:00:00,F,13:50:00,,,HOH EDI,,0.0,0.0,D,142,269,,,,,,,14058,431,20153,Introduction to Auditing and Assurance Services
13,ACCT-373,ACCT,373,ACCT,08:00:00,TH,09:50:00,"Layton, Rose, M",7491812454.0,ACC310,,2.0,2.0,C,43,50,,,,,,,14057,431,20153,Introduction to Auditing and Assurance Services
14,ACCT-373,ACCT,373,ACCT,12:00:00,TH,13:50:00,"Layton, Rose, M",7491812454.0,ACC310,,2.0,2.0,C,49,50,,,,,,,14056,431,20153,Introduction to Auditing and Assurance Services
15,ACCT-373,ACCT,373,ACCT,10:00:00,TH,11:50:00,"Layton, Rose, M",7491812454.0,ACC310,,2.0,2.0,C,50,50,,,,,,,14055,431,20153,Introduction to Auditing and Assurance Services
16,ACCT-374,ACCT,374,ACCT,08:00:00,MW,09:50:00,"Swenson, Charles, W",9185995079.0,ACC310,,2.0,2.0,C,47,51,,,,,,,14060,431,20153,Introduction to Tax Issues
17,ACCT-374,ACCT,374,ACCT,10:00:00,MW,11:50:00,"Swenson, Charles, W",9185995079.0,ACC310,,2.0,2.0,C,51,52,,,,,,,14061,431,20153,Introduction to Tax Issues
18,ACCT-374,ACCT,374,ACCT,12:00:00,MW,13:50:00,"Swenson, Charles, W",9185995079.0,ACC310,,2.0,2.0,C,52,52,,,,,,,14062,431,20153,Introduction to Tax Issues
19,ACCT-377,ACCT,377,ACCT,08:00:00,MW,09:50:00,"Ryan, Tom",7846273757.0,ACC310,,2.0,2.0,C,41,48,,,,,,,14066,442,20153,Valuation for Financial Statement Purposes
20,ACCT-377,ACCT,377,ACCT,12:00:00,MW,13:50:00,"Ryan, Tom",7846273757.0,ACC310,,2.0,2.0,C,47,48,,,,,,,14065,442,20153,Valuation for Financial Statement Purposes
21,ACCT-377,ACCT,377,ACCT,10:00:00,MW,11:50:00,"Ryan, Tom",7846273757.0,ACC310,,2.0,2.0,C,48,48,,,,,,,14067,442,20153,Valuation for Financial Statement Purposes
22,ACCT-410,ACCT,410,ACCT,16:00:00,MW,17:50:00,"Stern, Adrian",1994342730.0,HOH305,,4.0,4.0,C,33,33,,,,,,,14095,1,20153,Foundations of Accounting
23,ACCT-410,ACCT,410,ACCT,08:00:00,MW,09:50:00,"Loumioti, Maria",9270722515.0,HOH301,,4.0,4.0,C,34,38,,,,,,,14092,1,20153,Foundations of Accounting
24,ACCT-410,ACCT,410,ACCT,10:00:00,TH,11:50:00,"Karayan, John, E",5864709882.0,HOH422,,4.0,4.0,C,35,39,,,,,,,14091,1,20153,Foundations of Accounting
25,ACCT-410,ACCT,410,ACCT,10:00:00,MW,11:50:00,"Loumioti, Maria",9270722515.0,HOH301,,4.0,4.0,C,37,39,,,,,,,14096,1,20153,Foundations of Accounting
26,ACCT-410,ACCT,410,ACCT,12:00:00,TH,13:50:00,"Karayan, John, E",5864709882.0,HOH422,,4.0,4.0,C,40,40,,,,,,,14093,1,20153,Foundations of Accounting
27,ACCT-410,ACCT,410,ACCT,14:00:00,MW,15:50:00,"Wilson Sweeney, Zivia, L",3933220257.0,ACC310,,4.0,4.0,C,48,48,,,,,,,14094,1,20153,Foundations of Accounting
28,ACCT-415,ACCT,415,ACCT,14:00:00,MW,15:50:00,"Ryan, Tom",7846273757.0,ACC205,,4.0,4.0,C,31,36,,,,,,,14102,1,20153,Intermediate Financial Accounting for Non-Accounting Majors
29,ACCT-416,ACCT,416,ACCT,10:00:00,TH,11:50:00,"Goble, Nancy",8419881341.0,BRI5,,2.0,2.0,C,28,36,,,,,,,14105,431,20153,Financial Reporting and Analysis
30,ACCT-430,ACCT,430,ACCT,12:30:00,F,13:50:00,,,HOH EDI,,0.0,0.0,D,108,120,,,,,,,14147,1,20153,Accounting Ethics
31,ACCT-430,ACCT,430,ACCT,10:00:00,MW,11:50:00,"Smith, Gary",5321616964.0,HOH421,,4.0,4.0,C,36,36,,,,,,,14144,1,20153,Accounting Ethics
32,ACCT-430,ACCT,430,ACCT,14:00:00,MW,15:50:00,"Smith, Gary",5321616964.0,ACC303,,4.0,4.0,C,36,37,,,,,,,14145,1,20153,Accounting Ethics
33,ACCT-430,ACCT,430,ACCT,16:00:00,MW,17:50:00,"Smith, Gary",5321616964.0,ACC303,,4.0,4.0,C,36,37,,,,,,,14146,1,20153,Accounting Ethics
34,ACCT-462,ACCT,462,ACCT,12:00:00,MW,13:50:00,"Jackson, Cecil, W",9968252892.0,ACC205,,2.0,2.0,C,33,34,,,,,,,14184,431,20153,Detecting Fraudulent Financial Reporting
35,ACCT-462,ACCT,462,ACCT,10:00:00,MW,11:50:00,"Jackson, Cecil, W",9968252892.0,ACC236,,2.0,2.0,C,33,34,,,,,,,14185,431,20153,Detecting Fraudulent Financial Reporting
36,ACCT-462,ACCT,462,ACCT,16:00:00,MW,17:50:00,"Jackson, Cecil, W",9968252892.0,HOH303,,2.0,2.0,C,38,42,,,,,,,14183,431,20153,Detecting Fraudulent Financial Reporting
37,ACCT-463,ACCT,463,ACCT,10:00:00,TH,11:50:00,"Layton, Rose, M",7491812454.0,BRI5,,2.0,2.0,C,24,36,,,,,,,14186,442,20153,Internal Audit
38,ACCT-470,ACCT,470,ACCT,14:00:00,F,15:50:00,"Simmonds, Kendall, L",7910304105.0,HOH EDI,B,0.0,0.0,D,73,269,,,,,,,14123,1,20153,Advanced External Financial Reporting Issues
39,ACCT-470,ACCT,470,ACCT,08:00:00,TH,09:50:00,"Simmonds, Kendall, L",7910304105.0,HOH421,B,4.0,4.0,C,20,40,,,,,,,14120,1,20153,Advanced External Financial Reporting Issues
